iter	MultiClass
0	1.064444749
1	1.035324018
2	1.010966895
3	0.9890081586
4	0.9680839253
5	0.9519098281
6	0.9379534077
7	0.9259471092
8	0.9137091749
9	0.9024216862
10	0.8927712134
11	0.8853449023
12	0.8768023796
13	0.8692238716
14	0.8619619701
15	0.8532009478
16	0.846600892
17	0.8395849146
18	0.8348479602
19	0.8290995117
20	0.8234600267
21	0.818193411
22	0.811762949
23	0.8081158173
24	0.8035557188
25	0.7983539738
26	0.7941631019
27	0.7905568215
28	0.7869522898
29	0.7822845185
30	0.7786057321
31	0.7746847078
32	0.7717681135
33	0.7667936263
34	0.7635306593
35	0.7612712944
36	0.7577680406
37	0.7537415858
38	0.7514026834
39	0.7487466623
40	0.7458712855
41	0.7416273943
42	0.7388954178
43	0.7364717829
44	0.7343259514
45	0.731928346
46	0.7297653433
47	0.7266762167
48	0.7246229351
49	0.7210072323
50	0.7181199252
51	0.7161626803
52	0.7140584665
53	0.7119697525
54	0.7089231371
55	0.7070065998
56	0.704910031
57	0.7029154775
58	0.7009388743
59	0.6989946858
60	0.6965020226
61	0.6942821302
62	0.6921504235
63	0.6901198888
64	0.6883157916
65	0.6862946701
66	0.684320711
67	0.6823722753
68	0.6804469732
69	0.677805194
70	0.6760017394
71	0.6738370266
72	0.6716178289
73	0.6690672762
74	0.6667290809
75	0.6646588782
76	0.6628408701
77	0.6615565656
78	0.6597827457
79	0.6584502146
80	0.6567917949
81	0.6555484097
82	0.6535116666
83	0.6514658544
84	0.6497525758
85	0.648497345
86	0.6471521969
87	0.6448777938
88	0.6425114683
89	0.6409533918
90	0.6393057956
91	0.637164601
92	0.636042568
93	0.6352608528
94	0.6335454894
95	0.6323002869
96	0.6300669241
97	0.6280027686
98	0.6266781361
99	0.6253057787
100	0.6238071718
101	0.6220189812
102	0.6198791637
103	0.6189418616
104	0.6166882675
105	0.6153661239
106	0.6130900023
107	0.6115389311
108	0.6094188289
109	0.6082720287
110	0.6070193788
111	0.6053909829
112	0.6036494497
113	0.6018519087
114	0.5999984761
115	0.597427044
116	0.59501452
117	0.5938088656
118	0.5915533069
119	0.5905205077
120	0.5890910863
121	0.5866347727
122	0.5852233377
123	0.584050314
124	0.5825350943
125	0.581083095
126	0.5796928305
127	0.5785600062
128	0.5750279915
129	0.5727467086
130	0.5710184729
131	0.5701253157
132	0.5679300315
133	0.5664329221
134	0.5641254284
135	0.562442043
136	0.5618133699
137	0.5602688451
138	0.5582487429
139	0.5570326869
140	0.5558936852
141	0.5538843642
142	0.5529095342
143	0.5522846983
144	0.5496749353
145	0.5486256617
146	0.5469315532
147	0.5459749807
148	0.5440539745
149	0.5420968044
